scan1	scan2	scan3	scan4
1145.1677	1778.3423	3138.7314	4516.0254
296.0000	472.0000	869.0000	1374.0000
467.0000	692.0000	1179.8000	1992.0000
795.4694	1247.3893	2176.6643	3329.6538
2084.2793	3334.1765	6084.2651	10014.4961
525.0000	688.6923	1169.9434	1825.7858
266.2000	384.1875	732.1111	1072.6000
495.9074	742.3148	1313.9796	2009.8334
565.9101	895.0319	1616.3943	2495.1416
1160.0336	1832.7114	3259.6541	5295.6616
7119.1611	10636.8057	17727.7461	27611.3184
517.7568	786.0269	1421.1209	2251.9128
349.0000	414.0000	772.0000	1126.0000
2267.2178	3687.1182	6532.6343	10765.9346
2479.8457	3672.8054	6468.8120	9810.4160
446.6283	658.0741	1188.8984	1836.7362
306.2857	434.1270	775.1945	1135.0000
6705.9600	10994.5508	19287.8652	23677.6738
718.8485	1080.1500	1674.6945	3004.8333
1505.1343	2280.4966	3993.0000	6035.9712
3158.7517	4772.4834	8247.5703	12428.8027
476.7857	710.7885	1261.3334	2046.8750
314.0000	440.0000	881.0000	1611.0000
762.7249	1181.0336	2134.0334	3271.8386
414.0000	577.0000	1086.5000	1612.2380
505.4493	805.8252	1414.5070	2338.5034
342.3226	516.2185	900.0091	1408.6250
2007.6107	3206.9128	5688.2617	8839.4492
312.2820	498.8000	899.1905	1610.5714
302.0000	605.0000	727.0000	1352.0000
3015.9934	4648.5303	8263.7109	12555.9854
7857.1948	12267.4629	21387.9531	33731.7969
342.0000	456.8400	854.5000	1501.3636
349.0000	481.0000	943.0000	1363.0000
397.0851	614.1689	1095.4595	1713.2280
748.9231	1119.4783	1923.6428	2870.0278
1949.1946	3019.3691	5301.8164	8325.0957
320.5000	522.7500	931.0000	1379.0000
485.2500	727.0000	1393.0000	2108.8333
4052.4966	6263.4360	10943.1543	15464.0615
2802.5337	4443.8052	7642.5840	11060.4238
248.0000	379.0000	669.0000	1079.0000
1155.1209	1853.0336	3303.6846	5082.3311
657.4161	1036.8724	1855.2147	2982.1946
504.8222	790.2642	1388.3486	2214.4678
356.0000	537.6667	890.0000	1438.2000
2744.2483	4278.8320	7408.9595	12154.2158
1526.6376	2428.6309	4214.8301	6760.2520
4639.4092	7018.3022	12494.5566	18123.4414
1318.7450	2131.8503	3751.4275	5924.1270
674.0486	1069.3071	1831.1348	2878.0754
810.3221	1224.9261	2183.1543	3237.5615
608.0203	966.2770	1687.4229	2656.0671
719.2427	1107.4794	1919.7266	2997.8430
816.8028	1332.9861	2308.9148	3644.0408
390.1538	537.3444	1040.7500	1510.2361
1044.5033	1686.2349	2927.9531	4624.4297
439.5811	646.1837	1147.1837	1739.4694
480.5118	681.4074	1323.9030	1966.1384
5186.4429	8293.5508	14456.4092	22686.7910
751.3712	1179.5154	2007.5896	3268.9568
466.0000	613.1563	1094.7742	1699.1333
1525.5973	2439.0815	4202.9863	6840.4126
3968.2954	6248.1680	11213.2549	15525.7373
532.8333	815.4034	1392.5120	2344.9553
1206.9044	1972.9111	3339.6267	5492.6519
6071.0405	9961.0000	17378.2480	26361.5664
508.9375	774.8849	1364.4539	2085.8103
840.2416	1271.9127	2249.6418	3335.0393
1661.3716	2639.1812	4616.5474	7218.8911
742.4899	1179.4121	2029.6735	3029.1567
2437.8726	3888.5771	6965.6509	10729.5264
361.1493	555.3402	966.5377	1562.8816
362.3803	520.9902	990.5250	1416.0825
1281.6913	1983.4662	3550.3784	5058.4951
474.7040	694.9421	1257.2869	1975.9916
576.3803	855.6194	1483.2794	2304.3577
3134.7944	5171.7163	8906.3037	14416.5566
921.7941	1382.6285	2526.7605	4778.9512
705.1862	1132.0068	1945.4966	3153.5945
321.0000	416.0000	751.0000	1171.2500
1381.6082	2079.6174	3643.4160	5637.2837
330.4825	554.9128	924.4595	1479.2986
3364.9397	5376.0874	9657.3418	15216.1748
406.0385	616.3281	1150.9032	1708.4576
2774.4094	4075.6777	7318.6309	10246.4961
374.2308	585.3137	1021.9402	1565.4421
448.0000	568.2609	983.9583	1587.5000
837.0625	1260.8926	2247.1409	3611.4658
823.2558	852.0811	1681.7800	1873.4216
862.0939	1340.5167	2398.8523	3812.7837
2037.1805	3210.7314	5629.5957	8901.7012
372.5636	528.6286	945.3903	1468.9559
721.8561	1160.8298	2102.5913	3270.4888
247.7500	385.7500	687.1429	1063.3226
1974.1232	3013.7104	5413.3062	8958.7695
493.1765	737.2667	1275.4667	2057.2727
845.0789	1291.4380	2200.5547	3949.8455
1010.3820	1623.5525	2861.3027	4617.9570
670.8732	1045.4897	1757.9507	2625.1201
356.0000	513.5000	935.6539	1449.2500
1183.2037	1670.6909	3146.4119	4941.4585
847.7651	1267.6644	2218.6174	3260.3147
281.0000	426.0000	774.0000	1146.0000
964.2412	1580.2086	2741.6204	4387.3813
